Internal codename,Version number(s),Initial stablerelease date,Supported(security fixes),API level
N/A,1.0,2008,No,1
Petit Four,1.1,2009,No,2
Cupcake,1.5,2009,No,3
Donut,1.6,2009,No,4
Eclair,2.0,2009,No,5
Froyo,2.2 – 2.2.3,2010,No,8
Gingerbread,2.3 – 2.3.2,2010,No,9
Honeycomb,3.0,2011,No,11
Ice Cream Sandwich,4.0 – 4.0.2,2011,No,14
Jelly Bean,4.1 – 4.1.2,2012,No,16
Key Lime Pie,4.4 – 4.4.4,2013,No,19
Lemon Meringue Pie,5.0 – 5.0.2,2014,No,21
Macadamia Nut Cookie,6.0 – 6.0.1,2015,No,23
New York Cheesecake,7.0,2016,No,24
Oatmeal Cookie,8.0,2017,No,26
,9,2018,Yes,28
Quince Tart,10,2019,Yes,29
Red Velvet Cake,11,2020,Yes,30
Snow Cone,12,2021,Yes,31
Un­known,Un­known,2022,Presupported,32
